particles,temperature,humidity,pressure,door_status,user_id,attack_status,timestamp
354,15.77,63.65,23.07,OPEN,user_15,NORMAL,2026-01-03T15:25:48.294938
369,20.16,43.59,13.16,OPEN,user_6,NORMAL,2026-01-03T15:25:53.309221
379,22.29,33.82,9.62,OPEN,user_7,NORMAL,2026-01-03T15:25:58.345849
201,22.78,44.67,9.26,CLOSED,user_3,NORMAL,2026-01-03T15:26:03.414559
479,19.93,45.15,7.53,CLOSED,user_13,NORMAL,2026-01-03T15:26:08.427339
500,23.55,34.3,16.46,OPEN,user_6,NORMAL,2026-01-03T15:26:13.431816
139,27.09,73.92,17.26,CLOSED,user_5,NORMAL,2026-01-03T15:26:18.438754
89,28.49,48.89,17.5,CLOSED,user_11,NORMAL,2026-01-03T15:26:23.486873
214,18.52,58.33,10.14,CLOSED,user_10,NORMAL,2026-01-03T15:26:28.507161
108,16.71,30.59,16.12,CLOSED,user_14,NORMAL,2026-01-03T15:26:33.522592
232,23.32,47.72,23.91,CLOSED,user_6,NORMAL,2026-01-03T15:26:38.542856
499,18.16,64.04,9.13,CLOSED,user_4,NORMAL,2026-01-03T15:26:43.568730
347,15.98,69.76,11.74,CLOSED,user_2,NORMAL,2026-01-03T15:26:48.598224
482,22.68,36.39,16.69,OPEN,user_9,NORMAL,2026-01-03T15:26:53.629825
45,23.59,63.6,17.1,OPEN,user_12,NORMAL,2026-01-03T15:26:58.647659
185,26.54,36.07,22.49,OPEN,user_4,NORMAL,2026-01-03T15:27:03.674205
21,29.55,71.34,12.82,OPEN,user_6,NORMAL,2026-01-03T15:27:08.703254
389,19.12,37.6,7.05,CLOSED,user_13,NORMAL,2026-01-03T15:27:13.749477
425,16.86,75.19,11.51,OPEN,user_10,NORMAL,2026-01-03T15:27:18.779982
268,29.5,39.69,11.37,CLOSED,user_4,NORMAL,2026-01-03T15:27:23.804269
284,16.9,50.72,14.28,OPEN,user_12,NORMAL,2026-01-03T15:27:28.819384
279,21.3,47.85,21.01,CLOSED,user_15,NORMAL,2026-01-03T15:27:33.835045
443,29.59,78.18,17.88,CLOSED,user_1,NORMAL,2026-01-03T15:27:38.855350
86,28.64,51.83,5.62,CLOSED,user_5,NORMAL,2026-01-03T15:27:43.863972
131,23.11,41.65,15.19,CLOSED,user_10,NORMAL,2026-01-03T15:27:48.902105
309,28.71,72.26,20.44,OPEN,user_10,NORMAL,2026-01-03T15:27:53.923076
31,23.23,72.5,12.71,CLOSED,user_13,NORMAL,2026-01-03T15:27:58.939294
318,19.93,43.65,9.91,CLOSED,user_13,NORMAL,2026-01-03T15:28:03.954328
259,20.09,45.84,15.49,CLOSED,user_10,NORMAL,2026-01-03T15:28:08.988649
360,29.01,62.53,16.89,OPEN,user_7,NORMAL,2026-01-03T15:28:14.013845
344,22.04,32.32,8.3,OPEN,user_5,NORMAL,2026-01-03T15:28:19.055679
408,21.86,76.38,10.04,OPEN,user_5,NORMAL,2026-01-03T15:28:24.089406
79,19.45,70.13,7.02,CLOSED,user_7,NORMAL,2026-01-03T15:28:29.115391
482,15.79,44.68,14.11,OPEN,user_4,NORMAL,2026-01-03T15:28:34.133693
93,23.31,31.6,19.66,OPEN,user_14,NORMAL,2026-01-03T15:28:39.147238
1,15.23,53.33,5.79,OPEN,user_7,NORMAL,2026-01-03T15:28:44.175384
87,25.13,59.69,16.95,CLOSED,user_14,NORMAL,2026-01-03T15:28:49.208497
349,19.19,79.79,23.88,OPEN,user_1,NORMAL,2026-01-03T15:28:54.234472
37,25.83,37.42,7.33,OPEN,user_10,NORMAL,2026-01-03T15:28:59.265681
112,16.32,32.24,13.5,OPEN,user_10,NORMAL,2026-01-03T15:29:04.294890
288,26.32,52.36,19.95,OPEN,user_1,NORMAL,2026-01-03T15:29:09.321978
449,27.78,63.83,24.45,CLOSED,user_5,NORMAL,2026-01-03T15:29:14.347606
275,27.82,44.81,7.65,OPEN,user_6,NORMAL,2026-01-03T15:29:19.388214
427,18.43,59.97,22.38,OPEN,user_14,NORMAL,2026-01-03T15:29:24.417104
195,29.8,79.52,14.06,CLOSED,user_12,NORMAL,2026-01-03T15:29:29.443759
414,21.52,48.67,18.57,CLOSED,user_8,NORMAL,2026-01-03T15:29:34.473407
174,28.28,59.54,21.2,OPEN,user_2,NORMAL,2026-01-03T15:29:39.502058
258,19.27,70.23,6.27,CLOSED,user_13,NORMAL,2026-01-03T15:29:44.530363
389,24.37,47.36,7.8,OPEN,user_8,NORMAL,2026-01-03T15:29:49.559500
331,20.06,53.8,14.14,CLOSED,user_13,NORMAL,2026-01-03T15:29:54.574839
410,16.78,73.99,7.71,CLOSED,user_11,NORMAL,2026-01-03T15:29:59.601681
50,27.49,55.57,23.63,OPEN,user_5,NORMAL,2026-01-03T15:30:04.642892
495,19.11,52.86,23.71,CLOSED,user_13,NORMAL,2026-01-03T15:30:09.673494
119,22.56,59.68,13.96,OPEN,user_2,NORMAL,2026-01-03T15:30:14.696480
424,19.72,64.12,12.74,OPEN,user_12,NORMAL,2026-01-03T15:30:19.709639
218,19.11,77.04,22.19,OPEN,user_9,NORMAL,2026-01-03T15:30:24.728072
407,25.74,36.52,11.94,CLOSED,user_7,NORMAL,2026-01-03T15:30:29.758607
78,27.74,64.58,12.5,OPEN,user_9,NORMAL,2026-01-03T15:30:34.776273
356,16.02,56.13,21.38,OPEN,user_6,NORMAL,2026-01-03T15:30:39.789871
389,29.69,71.73,21.97,CLOSED,user_2,NORMAL,2026-01-03T15:30:44.804137
0,17.11,68.46,21.43,OPEN,user_1,NORMAL,2026-01-03T15:30:49.817308
172,29.74,69.11,16.38,CLOSED,user_8,NORMAL,2026-01-03T15:30:54.822511
127,24.65,37.71,20.0,OPEN,user_4,NORMAL,2026-01-03T15:30:59.838959
274,29.29,33.65,5.84,OPEN,user_7,NORMAL,2026-01-03T15:31:04.852821
230,19.06,53.34,12.21,CLOSED,user_5,NORMAL,2026-01-03T15:31:09.883338
312,18.9,79.34,22.39,CLOSED,user_10,NORMAL,2026-01-03T15:31:14.908405
184,28.19,33.15,13.44,CLOSED,user_6,NORMAL,2026-01-03T15:31:19.942782
208,28.01,32.98,22.52,CLOSED,user_15,NORMAL,2026-01-03T15:31:24.972032
341,21.74,42.23,8.01,CLOSED,user_9,NORMAL,2026-01-03T15:31:30.005915
22,24.68,52.46,9.7,OPEN,user_14,NORMAL,2026-01-03T15:31:35.031817
114,21.72,56.32,8.77,CLOSED,user_14,NORMAL,2026-01-03T15:31:40.049236
3,15.09,79.91,13.65,OPEN,user_4,NORMAL,2026-01-03T15:31:45.076737
91,27.37,34.16,21.29,OPEN,user_4,NORMAL,2026-01-03T15:31:50.106620
87,21.54,30.54,9.42,CLOSED,user_15,NORMAL,2026-01-03T15:31:55.120630
250,18.13,61.77,10.09,CLOSED,user_12,NORMAL,2026-01-03T15:32:00.124318
307,21.57,56.0,19.79,CLOSED,user_12,NORMAL,2026-01-03T15:32:05.128048
272,17.79,34.01,7.13,CLOSED,user_11,NORMAL,2026-01-03T15:32:10.131179
142,15.51,51.11,9.48,OPEN,user_7,NORMAL,2026-01-03T15:32:15.145674
254,24.89,32.05,6.36,OPEN,user_13,NORMAL,2026-01-03T15:32:20.159383
412,27.43,37.51,17.87,CLOSED,user_13,NORMAL,2026-01-03T15:32:25.173756
408,19.09,46.86,17.9,OPEN,user_7,NORMAL,2026-01-03T15:32:30.187832
93,26.6,47.76,18.6,CLOSED,user_1,NORMAL,2026-01-03T15:32:35.235113
132,29.87,49.77,20.02,CLOSED,user_9,NORMAL,2026-01-03T15:32:40.250695
228,23.6,77.81,24.56,OPEN,user_10,NORMAL,2026-01-03T15:32:45.264024
420,25.87,41.54,8.3,OPEN,user_5,NORMAL,2026-01-03T15:32:50.277606
413,23.74,44.64,17.29,CLOSED,user_5,NORMAL,2026-01-03T15:32:55.291369
393,16.89,57.51,9.58,OPEN,user_14,NORMAL,2026-01-03T15:33:00.305053
358,22.84,66.97,12.28,CLOSED,user_8,NORMAL,2026-01-03T15:33:05.327658
333,18.27,53.37,16.97,OPEN,user_3,NORMAL,2026-01-03T15:33:10.346102
453,22.66,63.06,12.16,CLOSED,user_9,NORMAL,2026-01-03T15:33:15.392991
269,25.68,74.75,24.74,CLOSED,user_6,NORMAL,2026-01-03T15:33:20.407116
181,24.01,33.42,15.11,OPEN,user_8,NORMAL,2026-01-03T15:33:25.421512
431,17.99,72.0,21.33,OPEN,user_14,NORMAL,2026-01-03T15:33:30.435372
354,20.19,74.31,14.52,OPEN,user_14,NORMAL,2026-01-03T15:33:35.439560
77,24.03,71.4,22.74,OPEN,user_3,NORMAL,2026-01-03T15:33:40.471006
53,15.06,34.85,13.34,CLOSED,user_12,NORMAL,2026-01-03T15:33:45.491636
156,20.78,58.94,23.56,OPEN,user_3,NORMAL,2026-01-03T15:33:50.521906
177,24.68,66.98,23.24,CLOSED,user_1,NORMAL,2026-01-03T15:33:55.536056
357,18.05,57.79,18.28,CLOSED,user_13,NORMAL,2026-01-03T15:34:00.550625
104,21.0,32.51,10.27,OPEN,user_9,NORMAL,2026-01-03T15:34:05.562729
425,25.96,49.16,19.01,OPEN,user_5,NORMAL,2026-01-03T15:34:10.576197
484,15.72,32.83,15.83,OPEN,user_10,NORMAL,2026-01-03T15:34:15.590122
59,23.3,67.11,22.55,OPEN,user_8,NORMAL,2026-01-03T15:34:20.619759
36,29.75,48.02,13.29,CLOSED,user_8,NORMAL,2026-01-03T15:34:25.648776
257,19.48,42.9,24.18,OPEN,user_2,NORMAL,2026-01-03T15:34:30.676834
272,28.68,73.76,6.84,CLOSED,user_15,NORMAL,2026-01-03T15:34:35.702890
181,29.69,38.76,21.4,CLOSED,user_5,NORMAL,2026-01-03T15:34:40.732599
359,23.42,60.37,20.68,OPEN,user_4,NORMAL,2026-01-03T15:34:45.759305
244,23.58,60.78,20.58,OPEN,user_15,NORMAL,2026-01-03T15:34:50.777012
217,18.27,77.13,15.8,OPEN,user_12,NORMAL,2026-01-03T15:34:55.792875
191,28.77,33.59,5.26,CLOSED,user_7,NORMAL,2026-01-03T15:35:00.809693
98,27.93,37.53,16.06,OPEN,user_15,NORMAL,2026-01-03T15:35:05.823990
338,26.75,41.99,13.74,OPEN,user_1,NORMAL,2026-01-03T15:35:10.836376
194,24.84,63.93,19.24,CLOSED,user_13,NORMAL,2026-01-03T15:35:15.842543
60,23.72,69.24,20.68,OPEN,user_8,NORMAL,2026-01-03T15:35:20.864306
317,20.51,44.5,10.45,OPEN,user_6,NORMAL,2026-01-03T15:35:25.882934
111,15.09,61.62,7.66,CLOSED,user_1,NORMAL,2026-01-03T15:35:30.911942
65,26.99,48.89,18.52,CLOSED,user_13,NORMAL,2026-01-03T15:35:35.942647
376,19.46,74.83,11.15,CLOSED,user_12,NORMAL,2026-01-03T15:35:40.959972
250,24.41,63.42,8.27,CLOSED,user_4,NORMAL,2026-01-03T15:35:45.987328
137,29.14,39.02,21.57,CLOSED,user_3,NORMAL,2026-01-03T15:35:51.019705
9,26.82,65.98,5.21,CLOSED,user_10,NORMAL,2026-01-03T15:35:56.051265
15,27.48,64.47,19.04,CLOSED,user_2,NORMAL,2026-01-03T15:36:01.074300
318,28.88,66.74,5.14,CLOSED,user_1,NORMAL,2026-01-03T15:36:06.081669
3,19.39,39.16,15.73,CLOSED,user_13,NORMAL,2026-01-03T15:36:11.100816
85,17.2,73.63,15.35,OPEN,user_14,NORMAL,2026-01-03T15:36:16.127909
23,15.99,57.51,19.01,OPEN,user_12,NORMAL,2026-01-03T15:36:21.150568
239,20.98,52.72,17.35,OPEN,user_4,NORMAL,2026-01-03T15:36:26.176284
280,25.36,72.31,15.31,OPEN,user_6,NORMAL,2026-01-03T15:36:31.208664
82,21.28,34.6,19.17,CLOSED,user_3,NORMAL,2026-01-03T15:36:36.238257
492,16.08,75.37,10.71,OPEN,user_12,NORMAL,2026-01-03T15:36:41.252015
115,15.06,70.06,16.91,OPEN,user_14,NORMAL,2026-01-03T15:36:46.294594
439,18.21,42.58,13.93,CLOSED,user_14,NORMAL,2026-01-03T15:36:51.308347
90,24.73,39.12,13.37,CLOSED,user_15,NORMAL,2026-01-03T15:36:56.323118
429,24.99,75.98,6.99,CLOSED,user_3,NORMAL,2026-01-03T15:37:01.328088
39,24.51,71.84,11.72,OPEN,user_5,NORMAL,2026-01-03T15:37:06.343707
397,27.94,67.74,8.63,CLOSED,user_7,NORMAL,2026-01-03T15:37:11.358939
356,21.12,72.29,9.22,OPEN,user_9,NORMAL,2026-01-03T15:37:16.372317
379,28.04,70.92,9.24,OPEN,user_3,NORMAL,2026-01-03T15:37:21.392280
457,19.09,77.27,5.29,CLOSED,user_3,NORMAL,2026-01-03T15:37:26.426149
434,19.67,46.23,23.4,CLOSED,user_7,NORMAL,2026-01-03T15:37:31.456579
375,19.01,33.63,18.62,OPEN,user_15,NORMAL,2026-01-03T15:37:36.471438
16,28.56,53.43,9.29,CLOSED,user_1,NORMAL,2026-01-03T15:37:41.485985
384,20.38,39.52,16.07,OPEN,user_6,NORMAL,2026-01-03T15:37:46.499891
427,19.27,50.1,14.85,CLOSED,user_5,NORMAL,2026-01-03T15:37:51.512960
59,22.26,66.01,7.16,CLOSED,user_14,NORMAL,2026-01-03T15:37:56.530261
164,27.54,68.29,15.95,CLOSED,user_12,NORMAL,2026-01-03T15:38:01.546343
316,19.11,50.59,10.58,CLOSED,user_14,NORMAL,2026-01-03T15:38:06.562811
63,16.86,55.56,7.65,CLOSED,user_4,NORMAL,2026-01-03T15:38:11.565773
441,29.51,64.57,22.09,OPEN,user_6,NORMAL,2026-01-03T15:38:16.593268
439,28.12,51.45,12.88,OPEN,user_6,NORMAL,2026-01-03T15:38:21.643080
106,24.49,49.39,19.68,CLOSED,user_5,NORMAL,2026-01-03T15:38:26.672885
394,23.47,71.42,22.77,CLOSED,user_5,NORMAL,2026-01-03T15:38:31.686711
374,27.88,71.47,9.48,OPEN,user_6,NORMAL,2026-01-03T15:38:36.702089
200,28.34,72.45,10.91,CLOSED,user_9,NORMAL,2026-01-03T15:38:41.721737
110,18.09,55.76,5.19,CLOSED,user_8,NORMAL,2026-01-03T15:38:46.735881
286,21.53,69.95,6.62,OPEN,user_1,NORMAL,2026-01-03T15:38:51.750054
82,18.89,70.62,20.99,OPEN,user_7,NORMAL,2026-01-03T15:38:56.764432
368,15.98,32.14,6.58,OPEN,user_7,NORMAL,2026-01-03T15:39:01.778192
179,28.3,73.24,24.06,CLOSED,user_6,NORMAL,2026-01-03T15:39:06.801297
210,17.7,38.96,12.68,OPEN,user_1,NORMAL,2026-01-03T15:39:11.806318
182,26.09,40.01,6.37,OPEN,user_5,NORMAL,2026-01-03T15:39:16.830004
403,28.69,71.7,13.92,CLOSED,user_3,NORMAL,2026-01-03T15:39:21.836398
466,19.69,68.39,22.47,OPEN,user_7,NORMAL,2026-01-03T15:39:26.841818
495,23.81,42.77,10.62,OPEN,user_6,NORMAL,2026-01-03T15:39:31.881092
474,18.85,64.83,22.63,CLOSED,user_1,NORMAL,2026-01-03T15:39:36.893768
161,21.9,37.66,16.98,CLOSED,user_2,NORMAL,2026-01-03T15:39:41.928605
350,18.44,51.07,17.26,OPEN,user_4,NORMAL,2026-01-03T15:39:46.969992
208,25.42,67.46,13.56,CLOSED,user_13,NORMAL,2026-01-03T15:39:51.992343
369,27.65,34.22,8.45,OPEN,user_13,NORMAL,2026-01-03T15:39:57.038185
188,25.3,53.41,8.75,OPEN,user_1,NORMAL,2026-01-03T15:40:02.059362
442,18.59,31.06,12.8,CLOSED,user_7,NORMAL,2026-01-03T15:40:07.084827
342,15.34,54.78,5.35,OPEN,user_8,NORMAL,2026-01-03T15:40:12.120683
24,17.51,31.36,19.87,OPEN,user_1,NORMAL,2026-01-03T15:40:17.167297
141,21.7,54.65,12.33,OPEN,user_10,NORMAL,2026-01-03T15:40:22.182071
181,23.54,77.68,12.36,CLOSED,user_7,NORMAL,2026-01-03T15:40:27.210312
184,26.48,72.96,10.58,OPEN,user_2,NORMAL,2026-01-03T15:40:32.270681
330,21.27,60.53,5.97,OPEN,user_10,NORMAL,2026-01-03T15:40:37.305896
233,17.85,40.9,11.16,CLOSED,user_4,NORMAL,2026-01-03T15:40:42.349775
392,23.33,63.17,20.11,OPEN,user_8,NORMAL,2026-01-03T15:40:47.363251
183,29.76,50.79,18.6,OPEN,user_4,NORMAL,2026-01-03T15:40:52.398579
319,18.93,44.5,9.37,OPEN,user_4,NORMAL,2026-01-03T15:40:57.415477
437,18.53,79.43,10.23,CLOSED,user_11,NORMAL,2026-01-03T15:41:02.442641
151,19.22,70.04,8.27,OPEN,user_13,NORMAL,2026-01-03T15:41:07.447809
74,18.78,61.34,18.81,CLOSED,user_5,NORMAL,2026-01-03T15:41:12.464651
20,20.2,67.14,7.59,CLOSED,user_5,NORMAL,2026-01-03T15:41:17.489745
315,17.01,50.85,16.68,OPEN,user_15,NORMAL,2026-01-03T15:41:22.541545
165,15.89,63.14,13.76,OPEN,user_9,NORMAL,2026-01-03T15:41:27.592663
1,23.38,32.25,11.02,CLOSED,user_9,NORMAL,2026-01-03T15:41:32.614958
232,21.31,61.18,14.08,OPEN,user_14,NORMAL,2026-01-03T15:41:37.639591
69,29.08,73.92,19.17,OPEN,user_13,NORMAL,2026-01-03T15:41:42.720038
292,29.4,66.68,13.67,OPEN,user_5,NORMAL,2026-01-03T15:41:47.736641
253,29.5,37.44,22.05,CLOSED,user_11,NORMAL,2026-01-03T15:41:52.805659
487,25.56,50.32,17.15,CLOSED,user_9,NORMAL,2026-01-03T15:41:57.833872
50,15.38,51.96,22.76,OPEN,user_3,NORMAL,2026-01-03T15:42:02.869209
27,21.93,32.06,11.91,CLOSED,user_8,NORMAL,2026-01-03T15:42:07.917827
247,19.36,74.76,14.25,CLOSED,user_7,NORMAL,2026-01-03T15:42:12.922115
226,24.55,72.01,22.89,OPEN,user_5,NORMAL,2026-01-03T15:42:17.955279
213,27.0,58.96,11.5,OPEN,user_3,NORMAL,2026-01-03T15:42:23.013781
215,23.1,61.72,6.13,OPEN,user_12,NORMAL,2026-01-03T15:42:28.073949
164,15.25,36.52,19.24,CLOSED,user_6,NORMAL,2026-01-03T15:42:33.080378
449,17.84,70.41,12.47,CLOSED,user_7,NORMAL,2026-01-03T15:42:38.087513
155,27.18,55.06,24.59,OPEN,user_3,NORMAL,2026-01-03T15:42:43.133778
227,18.22,61.44,9.18,OPEN,user_10,NORMAL,2026-01-03T15:42:48.190426
92,21.55,62.0,9.37,OPEN,user_8,NORMAL,2026-01-03T15:42:53.193392
65,28.23,34.48,12.8,CLOSED,user_13,NORMAL,2026-01-03T15:42:58.217909
286,19.5,42.21,13.41,CLOSED,user_3,NORMAL,2026-01-03T15:43:03.222938
89,21.18,42.52,9.97,OPEN,user_9,NORMAL,2026-01-03T15:43:08.237469
472,28.23,61.03,15.7,OPEN,user_9,NORMAL,2026-01-03T15:43:13.240352
282,23.6,58.91,7.79,CLOSED,user_12,NORMAL,2026-01-03T15:43:18.262479
253,24.25,56.48,6.55,OPEN,user_11,NORMAL,2026-01-03T15:43:23.265882
82,28.7,45.15,22.95,OPEN,user_8,NORMAL,2026-01-03T15:43:28.269227
380,21.52,77.45,7.94,CLOSED,user_4,NORMAL,2026-01-03T15:43:33.285759
468,18.54,52.74,10.67,CLOSED,user_7,NORMAL,2026-01-03T15:43:38.299602
264,27.11,61.64,19.61,CLOSED,user_13,NORMAL,2026-01-03T15:43:43.313502
369,19.79,54.84,16.1,OPEN,user_12,NORMAL,2026-01-03T15:43:48.328803
430,27.18,41.07,24.55,OPEN,user_3,NORMAL,2026-01-03T15:43:53.343264
472,25.29,66.19,10.49,OPEN,user_9,NORMAL,2026-01-03T15:43:58.358540
381,23.04,32.61,20.4,OPEN,user_5,NORMAL,2026-01-03T15:44:03.373631
335,19.36,64.06,22.36,CLOSED,user_4,NORMAL,2026-01-03T15:44:08.388026
140,24.07,50.65,24.41,CLOSED,user_15,NORMAL,2026-01-03T15:44:13.402116
349,25.2,39.76,23.8,CLOSED,user_7,NORMAL,2026-01-03T15:44:18.406154
424,29.71,50.83,20.93,CLOSED,user_8,NORMAL,2026-01-03T15:44:23.410659
143,17.16,59.11,7.61,OPEN,user_7,NORMAL,2026-01-03T15:44:28.426053
457,25.08,31.64,5.21,CLOSED,user_7,NORMAL,2026-01-03T15:44:33.441634
223,27.2,40.93,5.71,CLOSED,user_5,NORMAL,2026-01-03T15:44:38.473497
45,22.4,79.4,10.83,CLOSED,user_5,NORMAL,2026-01-03T15:44:43.579273
289,24.93,74.27,21.69,OPEN,user_3,NORMAL,2026-01-03T15:44:48.593528
148,23.29,40.37,12.8,CLOSED,user_12,NORMAL,2026-01-03T15:44:53.614947
424,16.22,30.31,16.18,OPEN,user_5,NORMAL,2026-01-03T15:44:58.618271
451,25.89,75.88,6.72,CLOSED,user_13,NORMAL,2026-01-03T15:45:03.633184
81,27.78,55.92,18.42,OPEN,user_14,NORMAL,2026-01-03T15:45:08.638681
4,23.67,64.31,8.76,OPEN,user_6,NORMAL,2026-01-03T15:45:13.641913
488,27.41,74.18,14.71,OPEN,user_7,NORMAL,2026-01-03T15:45:18.656422
199,28.57,59.93,8.78,CLOSED,user_7,NORMAL,2026-01-03T15:45:23.662524
99,20.95,34.25,5.01,OPEN,user_7,NORMAL,2026-01-03T15:45:28.685410
24,25.29,66.08,7.91,CLOSED,user_6,NORMAL,2026-01-03T15:45:33.700602
378,21.79,67.76,11.93,OPEN,user_10,NORMAL,2026-01-03T15:45:38.717609
216,28.51,66.49,24.6,CLOSED,user_4,NORMAL,2026-01-03T15:45:43.734416
243,23.42,70.22,13.11,OPEN,user_5,NORMAL,2026-01-03T15:45:48.777014
160,27.01,45.95,13.73,CLOSED,user_10,NORMAL,2026-01-03T15:45:53.793403
235,18.9,31.48,19.78,CLOSED,user_5,NORMAL,2026-01-03T15:45:58.798727
345,19.62,61.16,13.52,OPEN,user_8,NORMAL,2026-01-03T15:46:03.814086
263,17.14,57.56,13.65,OPEN,user_2,NORMAL,2026-01-03T15:46:08.820573
230,17.03,41.59,20.65,OPEN,user_3,NORMAL,2026-01-03T15:46:13.833735
485,24.4,37.83,17.04,CLOSED,user_1,NORMAL,2026-01-03T15:46:18.847724
172,19.89,43.89,12.13,OPEN,user_13,NORMAL,2026-01-03T15:46:23.852220
250,26.96,39.03,5.51,OPEN,user_2,NORMAL,2026-01-03T15:46:28.865704
278,17.95,76.55,21.29,OPEN,user_3,NORMAL,2026-01-03T15:46:33.882758
275,27.26,73.6,5.8,OPEN,user_15,NORMAL,2026-01-03T15:46:38.897415
206,17.62,51.86,14.52,CLOSED,user_15,NORMAL,2026-01-03T15:46:43.911606
180,20.34,62.29,10.16,OPEN,user_4,NORMAL,2026-01-03T15:46:48.925579
441,22.89,35.2,19.71,OPEN,user_6,NORMAL,2026-01-03T15:46:53.939370
404,18.06,72.21,10.3,CLOSED,user_11,NORMAL,2026-01-03T15:46:58.954072
184,16.96,68.38,8.87,OPEN,user_2,NORMAL,2026-01-03T15:47:03.969119
465,22.27,40.04,17.41,CLOSED,user_15,NORMAL,2026-01-03T15:47:08.985003
349,22.23,56.91,22.81,OPEN,user_4,NORMAL,2026-01-03T15:47:13.990304
191,29.96,76.8,20.24,CLOSED,user_15,NORMAL,2026-01-03T15:47:19.053535
87,17.4,40.11,23.34,CLOSED,user_11,NORMAL,2026-01-03T15:47:24.059172
188,24.97,32.89,15.93,CLOSED,user_8,NORMAL,2026-01-03T15:47:29.064428
388,21.25,38.71,21.35,OPEN,user_5,NORMAL,2026-01-03T15:47:34.085477
438,18.8,54.48,12.87,OPEN,user_1,NORMAL,2026-01-03T15:47:39.088859
115,18.46,54.64,18.61,CLOSED,user_11,NORMAL,2026-01-03T15:47:44.095197
147,15.87,68.37,23.43,OPEN,user_9,NORMAL,2026-01-03T15:47:49.099802
260,26.49,61.88,14.17,OPEN,user_14,NORMAL,2026-01-03T15:47:54.105564
26,22.21,48.05,8.92,CLOSED,user_8,NORMAL,2026-01-03T15:47:59.125590
94,16.47,65.78,22.25,CLOSED,user_10,NORMAL,2026-01-03T15:48:04.128673
291,16.96,49.08,17.85,CLOSED,user_5,NORMAL,2026-01-03T15:48:09.144010
454,19.83,67.55,9.48,OPEN,user_10,NORMAL,2026-01-03T15:48:14.150462
110,26.31,31.55,14.85,OPEN,user_9,NORMAL,2026-01-03T15:48:19.153717
454,29.36,47.64,20.93,CLOSED,user_9,NORMAL,2026-01-03T15:48:24.173800
10,19.83,78.46,8.3,OPEN,user_9,NORMAL,2026-01-03T15:48:29.177601
307,28.92,73.98,19.38,OPEN,user_7,NORMAL,2026-01-03T15:48:34.181962
416,24.06,52.7,14.2,OPEN,user_15,NORMAL,2026-01-03T15:48:39.185541
118,29.46,68.34,9.9,CLOSED,user_7,NORMAL,2026-01-03T15:48:44.201194
178,28.88,70.33,9.09,CLOSED,user_5,NORMAL,2026-01-03T15:48:49.385095
